depmap_id	cell_line_display_name	lineage_1	lineage_2	lineage_3	lineage_4	NOS2	STAB1	MARCO	VIM	CDH1	FAP	CXCL2	AKR1B1	CCL22	CCL17	SMPD3	FOXF1	CCL7	CCL2	CCL8	IFNG	VEGFA	IL4	CD86	WNT5A	IL1A	STAT1	NEU2	IL1R2	IL1R1	ARG1	CD274	TWIST1	F13A1	SOX9	IL1B	PPARG	CLEC10A	LOXL2	IL6	IL10	KLF4	IRF4	GATA6	ZEB1	TAGLN	CSF2	CLDN3	STAT6	AXL	ROR2	ZEB2	CLEC7A	CCL13	CLDN7	ST6GALNAC3	CYP4A11	CLDN4	IL27	PDCD1LG2	ADH4	TNF	TWIST2	MRC1
ACH-000948	2313287	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma		0.056583528	0.443606651	0	1.622930351	7.109465038	0.056583528	6.970738639	1.007195501	0.214124805	0	1.608809243	0	0	0.070389328	0	0	7.749601306	0	0	0.286881148	0.378511623	4.887525271	0	3.298658316	0.847996907	0	2.070389328	0	0.014355293	5.286881148	1.411426246	3.308885057	0	0.545968369	0	0	4.521678952	0.014355293	2.853995647	0.831877241	2.073820233	0.070389328	3.189033824	6.864805194	0.275007047	0.014355293	0.163498732	0.516015147	0	8.834565857	0.40053793	0	7.967226259	0	0	0	0.613531653	0	1.09085343
ACH-000880	AGS	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma		0.124328135	0.014355293	0	3.221877081	3.292781749	0.097610797	2.070389328	7.709910927	0.014355293	0.150559677	0.23878686	0.014355293	0	0.042644337	0	0	5.599020177	0	0.042644337	0.028569152	0.097610797	6.954079959	0	2.627606838	1.304511042	0.150559677	1.350497247	0	0	6.126807703	0.344828497	4.789207575	0	0.432959407	0.056583528	0	5.09592442	0.084064265	5.645586386	0.214124805	9.241816354	0	0.124328135	5.995484519	0.97819563	0	0.163498732	0	0	7.076388069	2.742006211	0	7.775379826	0	0	0.014355293	0	0.014355293	0.014355293
ACH-002446	CCLFUPGI0005T	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma		0.014355293	0	0.014355293	8.526694846	3.827819025	0	6.088099184	7.269968201	0	0	1.063502942	0	0	3.625270489	0	0	4.286881148	1.761285273	0	0	0.111031312	4.628190335	0	3.451540833	3.381283373	0.028569152	0.084064265	2.427606173	0	5.283921772	0.765534746	5.634012356	0	2.715893371	1.963474124	0	5.527946099	0	6.223808659	4.289834465	3.303050085	0	0.014355293	5.106432078	1.819668183	1.748461233	0.632268215	0	0	0	0.847996907	0	0.042644337	0	0	0	0.042644337	0.555816155	0
ACH-000746	GSS	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma		0.378511623	0.028569152	0	8.137349819	3.996388746	0	1.169925001	0.659924558	0.014355293	0	0.713695815	0.176322773	0	0.056583528	0	0	6.833902077	0	0.042644337	0.056583528	0.097610797	5.504620392	0	0.263034406	2.192194165	0.214124805	0.659924558	0.124328135	0.028569152	6.991861931	0.263034406	2.952333566	0	1.298658316	0.070389328	0	5.847746417	0.150559677	0.321928095	1.49057013	1.589763487	0	4.422905743	0.495695163	0.516015147	0.028569152	0.163498732	0	0	0.545968369	0.963474124	0	3.531069493	0	0	0	0	0.028569152	0.014355293
ACH-000485	GSU	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma		0.028569152	0	0	0.956056652	7.39694722	0.014355293	1.526068812	0.35614381	0.028569152	0	0.526068812	0	0	0.042644337	0	0	5.657640005	0	0	0.111031312	0.014355293	3.679198571	0	0.839959587	0.070389328	0.042644337	0.189033824	0	0	5.14974712	0.250961574	7.590437346	0	0.344828497	0.070389328	0	6.009436756	0.014355293	4.228049048	0.097610797	2.163498732	0	4.581351247	6.890203467	0.124328135	0	0.028569152	0.124328135	0	8.182741949	0	0	9.292252603	0	0	1.169925001	0.028569152	0	0
ACH-000847	HGC27	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma		0.485426827	0.070389328	0	11.24733418	0.443606651	3.410069692	0.070389328	4.241077458	0.014355293	0	0.59454855	2.111031312	0	2.627606838	0	0	5.71781349	0	0	2.967168608	0.042644337	4.264536431	0	0	0.042644337	0	0.35614381	7.095080492	0.070389328	0.310340121	0.056583528	0.189033824	0	4.46139759	0.286881148	0	2.996388746	0.137503524	1.835924074	3.745237332	4.159467729	0	0.176322773	6.181301365	2.707082992	3.921245889	3.489286023	0.495695163	0	2.553360503	2.40599236	0	1	0	0	0	0	0	0.584962501
ACH-000616	HS746T	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma		0.042644337	0.014355293	0.111031312	11.8897321	0.604071324	5.084064265	2.813524689	7.355527293	0.028569152	0	0.604071324	0.333423734	0	3.607626221	0	0	7.414050945	0	0.028569152	0.201633861	1.207892852	6.313608657	0.895302621	0.613531653	3.813524689	0.201633861	6.099715999	0	0.028569152	4.188242656	1.189033824	1.891419187	0.014355293	6.102868054	1.169925001	0	2.748461233	0.042644337	1.963474124	4.690417096	3.275007047	1.90303827	0.111031312	6.243745235	7.043081982	0.35614381	4.012568674	0.485426827	0	4.290571851	0.35614381	0	7.954370819	0	4.733896605	0.23878686	0.014355293	4.204766751	0.028569152
ACH-000919	IM95	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma		0	0.695993813	0	1.021479727	5.810443104	0	5.515384461	7.142107057	0	0	4.331991778	0.014355293	0	0	0	0	6.155830172	0	0	0.014355293	0.50589093	5.040015679	0	3.324810603	0.23878686	0.056583528	1.03562391	0	0	4.828326926	1.021479727	6.0725346	0	0.286881148	0.042644337	0	4.864928972	0.028569152	3.913607512	0.056583528	1.90303827	0	8.011339088	6.812883235	0.35614381	0	0.070389328	0.014355293	0	8.17502552	0	0	8.153248008	0.056583528	0.014355293	0.028569152	0	0	0.028569152
ACH-000507	KE39	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma		0	0.137503524	0	1.695993813	5.345893086	0	5.203201156	5.56163163	0.042644337	0	0.422233001	0	0	0.042644337	0	0	5.284662185	0	0	0.084064265	0.056583528	5.697106574	0	1.448900951	5.570159302	0	1.09085343	0.028569152	0.333423734	6.151371776	0.250961574	5.996162743	0	0.526068812	0.042644337	4.577730931	5.665335917	0.070389328	5.060479781	0.163498732	2.229587923	0.042644337	0.163498732	7.321567376	0.757023247	0.014355293	0.22650853	0.028569152	0	5.6395216	0	0.028569152	9.375799688	0	0	0.214124805	0.111031312	0	0.014355293
ACH-000255	LMSU	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma		0	0.124328135	0.028569152	12.4694892	0.948600847	2.918386234	6.266036894	8.790446248	0.014355293	0	0.22650853	0.748461233	0.070389328	2.687060688	0	0	7.171927354	0	0.070389328	6.528415039	3.731183242	5.393690764	0	0.454175893	3.880685525	0.097610797	2.9800253	5.982537314	0.042644337	1.389566812	4.572889668	2.97819563	0	7.440869168	6.154615611	0.028569152	2.35614381	0.432959407	2.726831217	3.764473551	3.761285273	2.885574364	0.839959587	6.366497076	7.946789334	0.150559677	4.297925053	0.014355293	0	2.286881148	0.23878686	0	1.89917563	0	2.124328135	0.042644337	0.250961574	3.521050737	0.014355293
