Depmap ID,Expression Public 22Q4,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000001,1.117695043,NIHOVCAR3,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000002,0,HL60,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000003,2.185866545,CACO2,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000004,0.275007047,HEL,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000005,0.411426246,HEL9217,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000006,0.070389328,MONOMAC6,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000007,0.286881148,LS513,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000008,2.518535139,A101D,Melanoma,Skin,Melanoma
ACH-000009,3.43162296,C2BBE1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000011,1.959770155,253J,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000012,0,HCC827,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000013,1.150559677,ONCODG1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000014,2.324810603,HS294T,Melanoma,Skin,Melanoma
ACH-000015,2.771885579,NCIH1581,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000016,0.790772038,SLR21,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000017,0,SKBR3,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000018,0,T24,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000019,0,MCF7,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000020,1.843983844,MHHCALL2,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000021,1.459431619,NCIH1693,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000022,0.263034406,PATU8988S,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000023,1.049630768,PATU8988T,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000024,0.014355293,OPM2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000025,0.298658316,CH157MN,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor
ACH-000026,1.021479727,253JBV,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000027,0.014355293,GOS3,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000028,0,KPL1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000029,0,HCC827GR5,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000030,0.056583528,PC14,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000031,0.263034406,PANC0213,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000032,1.959770155,MHHCALL3,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000033,0.163498732,NCIH1819,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000034,0,PLB985,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000035,0.565597176,NCIH1650,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000036,0,U343,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000037,0.014355293,S117,"Sarcoma, NOS",Soft Tissue,"Sarcoma, NOS"
ACH-000038,0.014355293,EHEB,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000039,0.641546029,SKNMC,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000040,1.695993813,U118MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000041,2.049630768,RDES,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000042,0.137503524,PANC0203,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000043,0.084064265,HS895T,Non-Cancerous,Fibroblast,Non-Cancerous
